startupName,startupLinkedIn,startupSite
Sarafan.tech,https://www.linkedin.com/company/sarafantech,https://sarafan.tech/en
ScholarshipOwl,https://www.linkedin.com/company/scholarshipowl,https://www.scholarshipowl.com/
scoutbee GmbH,https://www.linkedin.com/company/scoutbee,https://scoutbee.com/
Secret City Trails,https://www.linkedin.com/company/secret-city-trails,http://www.secretcitytrails.com/
Securibox,https://www.linkedin.com/company/securibox,https://www.securibox.eu/
Sensei Labs,https://www.linkedin.com/company/sensei-labs,https://senseilabs.com/
Senso.ai,https://www.linkedin.com/company/senso.ai,http://www.senso.ai/
Serinus GmbH & Co. KG,,https://www.serinus-sec.com/
Shawee,https://www.linkedin.com/company/shawee,https://shawee.io/
Shoof Technologies,https://www.linkedin.com/company/shoof-technologies,http://www.shooftech.com/
Shufti Pro,https://www.linkedin.com/company/shufti-pro,https://www.shuftipro.com/
Siccura Ltd.,,https://www.siccura.com/
Silent Space,https://www.linkedin.com/company/silentspace,https://www.silentspace-oad.com/en/
Silkke,https://www.linkedin.com/company/silkke,http://www.silkke.com/
Simplified Solutions,https://www.linkedin.com/company/simplified-solutions-fzco,http://www.simplifiedsolutionsfzc.com/
SimplyEdit,https://www.linkedin.com/company/simplyedit,http://simplyedit.io/
Sizebay,https://www.linkedin.com/company/sizebay,https://www.sizebay.com/
Skapánê,https://www.linkedin.com/company/skapan%C3%AA,http://www.skapane.com/
SKIIN,https://www.linkedin.com/company/9401782/,https://www.skiin.com/
Skorebee,https://www.linkedin.com/company/skorebee,http://www.skorebee.com/
Skysens,https://www.linkedin.com/company/skysens,http://www.skysens.io/
Slidr,https://www.linkedin.com/company/slidr,https://www.slidr.com/
SMARD Transactions,https://www.linkedin.com/paysmard,http://www.smard-transactions.de/
SnapCall,https://www.linkedin.com/company/snapcall-io,https://snapcall.io/
Snovio,,https://snov.io/
SocialPubli,https://www.linkedin.com/company/socialpubli,https://socialpubli.com/
southpigalle,https://www.linkedin.com/company/southpigalle,https://www.southpigalle.io/
"SpokeHub, Inc",https://www.linkedin.com/company/spokehubapp,http://spokehub.co/
Spotin AB,,https://www.spotin.com/
StanPlus,https://www.linkedin.com/company/stan-stan-plus-,https://www.stanplus.com/
